time,pm10 standard,pm25 standard,pm100 standard
1707521780.7301955,1,2,4
1707521781.7317681,1,2,4
1707521782.7332888,1,2,4
1707521783.7348683,1,2,4
1707521784.7371824,1,2,4
1707521785.739414,1,2,4
1707521786.741735,1,2,4
1707521787.7439823,1,2,4
1707521788.7463837,0,2,4
1707521789.7486641,0,2,4
1707521790.7508407,0,2,4
1707521791.753017,1,2,4
1707521792.7551892,1,2,4
1707521793.7567298,1,2,4
1707521794.758273,1,2,5
1707521795.7598252,1,2,5
1707521796.7613757,1,2,5
1707521797.7629125,1,2,5
1707521798.7651606,1,2,5
1707521799.7674136,1,2,5
1707521800.7697623,1,2,5
1707521801.7720706,1,2,5
1707521802.7744193,1,2,5
1707521803.7767336,1,2,4
1707521804.7790103,1,2,4
1707521805.7812865,1,2,4
1707521806.783552,1,2,4
1707521807.7858841,1,2,4
1707521808.7881682,1,2,4
1707521809.790514,1,2,4
